Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree
0,0,0.052359878,0.087266463,0.122173048,0,3.000000025,5.000000023,7.000000021
1,0,0.052359878,0.087266463,0.122173048,0,3.000000025,5.000000023,7.000000021
2,-0.000310112,-0.014576628,-0.0294909,-0.022462425,-0.017768109,-0.835179264,-1.689704104,-1.28700215
3,-0.001181243,-0.0261192,-0.089388377,-0.135106695,-0.067680238,-1.496519924,-5.12157674,-7.741043407
4,-0.002238383,-0.019166321,-0.089486266,-0.141958877,-0.128249899,-1.098149302,-5.127185366,-8.133644517
5,-0.003142046,-0.018712852,-0.079157394,-0.115654613,-0.180025975,-1.072167442,-4.535384593,-6.626521206
6,-0.003958447,-0.02001195,-0.071386792,-0.100666911,-0.226802307,-1.146600275,-4.090161895,-5.767789137
7,-0.004888333,-0.021987887,-0.064431928,-0.088543239,-0.28008085,-1.259813126,-3.69167754,-5.073153899
8,-0.005947835,-0.024360153,-0.058227694,-0.077292199,-0.340785843,-1.395733955,-3.336201117,-4.428516792
9,-0.007009373,-0.027012274,-0.052872883,-0.067062236,-0.40160749,-1.547689295,-3.029393047,-3.842383088
10,-0.00799258,-0.029880513,-0.048430571,-0.058116874,-0.457941101,-1.712027285,-2.774867318,-3.329851599
11,-0.00894815,-0.032916388,-0.044904097,-0.050612623,-0.512691229,-1.885970109,-2.572815241,-2.899889688
12,-0.009916971,-0.0360764,-0.042252669,-0.044589267,-0.568200584,-2.06702546,-2.420899607,-2.554776811
13,-0.010875146,-0.039318291,-0.040404877,-0.039997038,-0.623099967,-2.252772132,-2.315028924,-2.29166147
14,-0.011779849,-0.042599205,-0.039271836,-0.036726843,-0.674935631,-2.440754657,-2.250110457,-2.104293099
15,-0.012618078,-0.045875792,-0.038757361,-0.034637815,-0.722962615,-2.628489263,-2.22063321,-1.984600611
