encoder_value,roll_value,gyro_value,pid
14,-2.27,-3.895,-30.593
13,-2.244,-5.761,55.269
12,-2.21,-6.437,93.386
10,-2.176,-6.019,125.059
6,-2.145,-4.812,171.028
2,-2.123,-2.703,173.545
0,-2.118,0.464,99.782
-3,-2.13,3.641,62.701
-5,-2.156,5.962,14.211
-4,-2.194,7.76,-81.409
-4,-2.24,8.585,-103.394
-1,-2.284,7.849,-160.017
1,-2.324,6.186,-141.918
3,-2.35,3.833,-111.783
6,-2.36,-1.68,9.55
7,-2.342,-3.758,45.662
5,-2.319,-4.775,131.024
3,-2.293,-4.658,160.116
0,-2.268,-3.591,186.189
-3,-2.256,-1.385,170.74
-5,-2.256,1.189,120.69
-8,-2.27,3.592,103.778
-9,-2.298,5.872,33.47
-9,-2.333,7.203,-17.576
-8,-2.373,7.401,-53.242
-6,-2.414,7.003,-86.686
-4,-2.448,5.717,-86.311
-2,-2.472,3.544,-60.584
0,-2.485,1.174,-27.43
0,-2.485,-1.014,48.58
0,-2.474,-2.741,96.553
0,-2.456,-3.796,128.082
-2,-2.433,-4.075,184.84
-5,-2.413,-3.293,217.652
-7,-2.399,-1.641,194.804
-10,-2.395,0.269,194.57
-13,-2.403,2.367,178.038
-14,-2.424,4.662,108.957
-15,-2.455,6.448,69.086
-15,-2.492,7.182,33.554
-15,-2.531,7.301,22.721
-13,-2.57,6.942,-20.25
-12,-2.603,5.706,1.356
-11,-2.628,4.008,28.132
-10,-2.645,2.491,51.384
-9,-2.655,1.036,74.646
-10,-2.657,-0.239,139.529
-10,-2.654,-0.837,146.987
-11,-2.649,-1.04,176.027
-13,-2.643,-1.006,212.406
-15,-2.641,-0.189,218.342
-16,-2.644,1.196,185.759
-19,-2.655,2.424,209.742
-20,-2.671,3.518,173.27
-21,-2.694,4.617,153.326
-22,-2.721,5.333,142.741
-21,-2.751,5.617,98.09
-22,-2.783,5.715,120.762
-21,-2.812,5.414,91.703
-21,-2.839,4.748,113.128
-20,-2.863,4.011,105.64
-20,-2.883,3.218,131.953
-20,-2.898,2.466,148.945
-21,-2.91,1.799,187.021
-20,-2.917,1.362,165.898
-22,-2.926,1.368,218.104
-22,-2.933,1.588,193.115
-24,-2.944,1.998,225.311
-24,-2.957,2.669,187.219
-26,-2.974,3.33,211.539
-26,-2.995,3.986,172.369
-27,-3.019,4.561,175.016
-27,-3.045,4.843,153.773
-27,-3.073,4.979,144.918
-26,-3.101,4.891,119.554
-27,-3.126,4.42,158.66
-26,-3.149,3.933,135.86
-26,-3.171,3.576,150.181
-25,-3.189,3.091,137.183
-26,-3.206,2.633,177.647
-25,-3.22,2.398,149.783
-26,-3.234,2.196,184.092
-25,-3.247,1.997,155.719
-26,-3.259,1.91,187.179
-26,-3.27,1.868,177.388
-27,-3.282,1.876,197.658
-27,-3.294,2.046,182.129
-27,-3.307,2.314,172.621
-27,-3.322,2.549,163.692
-28,-3.338,2.691,179.532
-27,-3.354,2.829,141.417
-28,-3.372,2.934,166.752
-27,-3.389,2.847,134.694
-27,-3.405,2.777,142.413
-27,-3.422,2.773,139.417
-26,-3.438,2.628,117.896
-26,-3.454,2.45,128.63
-25,-3.469,2.244,109.047
-25,-3.482,2.002,121.965
-24,-3.495,1.75,103.869
-24,-3.505,1.323,122.279
-24,-3.514,0.833,133.879
-22,-3.52,0.407,99.305
-23,-3.523,-0.107,152.797
-23,-3.523,-0.574,156.475
-22,-3.522,-0.736,138.64
-23,-3.521,-0.834,173.17
-23,-3.518,-0.887,166.455
-23,-3.518,-0.524,157.096
-24,-3.519,-0.087,167.966
-24,-3.521,0.206,151.029
-24,-3.528,0.673,137.606
-24,-3.535,1.007,127.599
-24,-3.543,1.041,125.288
-23,-3.553,1.032,101.396
-23,-3.56,0.824,114.601
-22,-3.566,0.519,99.235
-22,-3.572,0.356,111.553
-22,-3.576,0.181,115.695
-21,-3.579,0.086,95.226
-21,-3.583,0.055,104.436
-20,-3.585,-0.11,86.212
-20,-3.588,-0.145,95.717
-20,-3.59,-0.151,95.673
-19,-3.59,-0.353,78.649
-18,-3.592,-0.455,67.764
-19,-3.592,-0.524,101.148
-17,-3.591,-0.588,49.275
-17,-3.593,-0.545,65.886
-16,-3.591,-0.727,48.69
-16,-3.59,-0.875,61.918
-15,-3.59,-0.816,38.12
-14,-3.586,-1.044,31.461
-13,-3.584,-1.254,24.088
-12,-3.582,-1.253,11.201
-12,-3.577,-1.467,26.903
-10,-3.572,-1.739,-9.699
-9,-3.566,-1.988,-6.41
-8,-3.558,-2.349,-8.723
-6,-3.538,-3.046,-13.239
-5,-3.524,-3.536,-10.877
-4,-3.508,-3.893,-11.757
-3,-3.49,-4.163,-14.503
-2,-3.471,-4.3,-20.602
-2,-3.453,-4.281,-8.563
-1,-3.433,-4.309,-26.321
0,-3.415,-4.231,-38.18
0,-3.397,-4.086,-29.597
0,-3.378,-4.134,-24.504
1,-3.36,-4.018,-46.502
1,-3.343,-3.766,-40.899
