encoder_value,roll_value,gyro_value,pid,predicted_pid_to_send
2168,-2.949,-46.38,-719.353,800.0
2169,-2.718,-46.167,-693.66,800.0
2170,-2.484,-46.201,-660.766,800.0
2171,-2.251,-45.676,-643.081,800.0
2172,-2.026,-44.315,-626.549,800.0
2173,-1.805,-42.833,-667.898,800.0
2174,-1.588,-41.184,-651.719,800.0
2175,-1.385,-38.443,-707.739,800.0
2176,-1.199,-35.076,-752.173,800.0
2177,-1.023,-32.089,-800.0,800.0
2178,-0.863,-28.59,-800.0,800.0
2179,-0.73,-23.924,-800.0,800.0
2180,-0.618,-19.637,-800.0,800.0
2181,-0.518,-16.278,-800.0,800.0
2182,-0.445,-12.903,-800.0,800.0
2183,-0.391,-10.502,-800.0,800.0
2184,-0.334,-10.233,-800.0,800.0
2185,-0.279,-10.573,-800.0,800.0
2186,-0.226,-10.773,-800.0,800.0
2187,-0.162,-11.901,-800.0,800.0
2188,-0.091,-12.914,-800.0,800.0
2189,-0.027,-12.445,-800.0,800.0
2190,0.038,-12.034,-800.0,800.0
2191,0.107,-12.255,-800.0,800.0
2192,0.169,-11.66,-800.0,800.0
2193,0.229,-10.923,-800.0,800.0
2194,0.299,-10.83,-800.0,800.0
2195,0.36,-8.986,-800.0,800.0
2196,0.395,-4.515,-800.0,781.5
2197,0.412,-0.091,-800.0,742.5
2198,0.408,3.655,-800.0,674.8
2199,0.378,7.523,-800.0,576.1
2200,0.337,9.867,-800.0,501.8
2201,0.292,10.407,-800.0,460.4
2202,0.237,10.82,-800.0,412.3
2203,0.186,10.327,-800.0,402.9
2204,0.147,8.478,-800.0,413.1
2205,0.109,7.174,-800.0,411.4
2206,0.078,6.183,-800.0,409.6
2207,0.062,4.661,-800.0,427.1
2208,0.042,4.193,-800.0,411.9
2209,0.021,4.625,-800.0,389.5
2210,0.006,4.459,-800.0,379.3
2211,-0.014,4.794,-800.0,355.3
2212,-0.042,5.72,-800.0,319.3
2213,-0.062,5.555,-800.0,311.5
2214,-0.083,5.587,-800.0,291.8
2215,-0.114,6.942,-800.0,244.3
2216,-0.143,7.956,-800.0,216.3
2217,-0.177,9.192,-800.0,167.1
2218,-0.231,11.695,-800.0,63.9
2219,-0.295,13.094,-800.0,-6.7
2220,-0.356,12.42,-800.0,-40.6
2221,-0.419,11.223,-800.0,-66.1
2222,-0.469,9.097,-800.0,-67.8
2223,-0.495,6.066,-800.0,-30.8
2224,-0.517,4.706,-800.0,-13.3
2225,-0.537,5.153,-800.0,-57.1
