encoder_value,roll_value,gyro_value,pid,predicted_pid_to_send
491,-0.832,1.339,-198.663,0.0
492,-0.833,-0.597,-147.65,0.0
493,-0.827,-1.906,-111.676,0.0
494,-0.817,-2.51,-93.64,0.0
495,-0.805,-2.709,-86.099,0.0
496,-0.794,-2.854,-79.925,0.0
497,-0.78,-3.227,-67.366,0.0
498,-0.764,-3.915,-45.89,0.0
499,-0.745,-4.943,-14.939,0.0
500,-0.718,-6.476,-13.795,0.0
501,-0.68,-8.262,36.405,0.0
502,-0.635,-9.595,89.614,0.0
503,-0.586,-10.275,94.768,0.0
504,-0.535,-10.675,102.058,0.0
505,-0.479,-10.75,124.149,0.0
506,-0.427,-10.033,182.783,0.0
507,-0.381,-8.981,159.71,0.0
508,-0.337,-8.478,191.113,0.0
509,-0.293,-8.26,220.981,0.0
510,-0.255,-7.922,246.821,0.0
511,-0.215,-7.617,273.707,0.0
512,-0.177,-7.113,295.075,0.0
513,-0.142,-6.243,328.471,0.0
514,-0.111,-5.371,329.831,0.0
515,-0.083,-4.603,364.733,0.0
516,-0.059,-3.659,385.181,0.0
517,-0.042,-2.418,373.927,0.0
518,-0.032,-1.028,388.924,0.0
519,-0.028,0.361,393.568,0.0
520,-0.033,1.685,398.496,0.0
521,-0.043,2.873,383.367,0.0
522,-0.059,3.832,382.272,0.0
523,-0.077,4.538,387.221,0.0
524,-0.099,5.108,395.218,0.0
525,-0.123,5.766,400.401,0.0
526,-0.151,6.735,374.105,0.0
527,-0.187,8.151,365.985,0.0
528,-0.231,9.914,292.957,0.0
529,-0.286,11.638,281.865,0.0
530,-0.348,13.023,237.825,0.0
531,-0.417,13.925,214.14,0.0
532,-0.488,14.263,160.088,0.0
533,-0.56,14.166,157.795,0.0
534,-0.631,13.841,107.785,0.0
535,-0.702,13.401,123.809,0.0
536,-0.769,12.833,81.051,0.0
537,-0.832,12.208,58.321,0.0
538,-0.895,11.663,56.225,0.0
539,-0.955,11.082,1.615,0.0
540,-1.011,10.229,17.762,0.0
541,-1.062,9.045,-19.129,0.0
542,-1.103,7.585,-6.369,0.0
543,-1.141,5.84,28.117,0.0
544,-1.168,3.877,39.011,0.0
545,-1.183,1.805,41.69,0.0
546,-1.19,-0.073,72.299,0.0
547,-1.188,-1.609,19.087,0.0
548,-1.179,-3.238,153.949,0.0
549,-1.16,-4.869,160.72,0.0
550,-1.135,-6.309,167.999,0.0
551,-1.1,-7.621,227.912,0.0
552,-1.058,-8.419,257.509,0.0
553,-1.016,-8.546,291.803,0.0
554,-0.973,-8.104,302.444,0.0
555,-0.934,-7.147,321.032,0.0
556,-0.903,-5.753,295.015,0.0
557,-0.878,-4.371,299.539,0.0
558,-0.859,-3.309,302.551,0.0
559,-0.845,-2.196,325.442,0.0
560,-0.838,-1.085,293.387,0.0
561,-0.834,-0.206,284.681,0.0
562,-0.835,0.797,271.808,0.0
563,-0.843,1.963,275.606,0.0
564,-0.856,2.938,252.187,0.0
565,-0.872,3.797,217.495,0.0
566,-0.895,4.662,190.399,0.0
567,-0.921,5.25,192.404,0.0
568,-0.948,5.471,195.124,0.0
569,-0.978,5.572,155.522,0.0
570,-1.007,5.523,137.765,0.0
571,-1.035,5.244,149.044,0.0
572,-1.063,4.944,129.29,0.0
573,-1.089,4.556,143.664,0.0
574,-1.11,3.884,112.709,0.0
575,-1.129,3.247,121.496,0.0
576,-1.146,2.85,137.879,0.0
577,-1.16,2.374,103.001,0.0
578,-1.173,1.895,131.434,0.0
579,-1.182,1.666,113.388,0.0
580,-1.191,1.402,105.363,0.0
581,-1.198,1.13,97.943,0.0
582,-1.206,1.079,84.537,0.0
583,-1.214,0.915,96.459,0.0
584,-1.218,0.478,84.911,0.0
585,-1.221,-0.059,62.938,0.0
586,-1.221,-0.534,48.671,0.0
587,-1.218,-0.943,100.671,0.0
588,-1.213,-1.407,105.182,0.0
589,-1.206,-1.795,72.076,0.0
590,-1.197,-2.022,75.606,0.0
591,-1.188,-2.135,89.521,0.0
592,-1.179,-2.237,71.621,0.0
593,-1.167,-2.547,91.25,0.0
594,-1.155,-2.854,102.058,0.0
595,-1.144,-2.92,83.774,0.0
596,-1.129,-3.133,78.9,0.0
597,-1.113,-3.507,123.685,0.0
598,-1.097,-3.64,99.017,0.0
599,-1.08,-3.822,93.914,0.0
600,-1.06,-4.201,139.526,0.0
601,-1.04,-4.34,115.796,0.0
602,-1.02,-4.436,131.446,0.0
603,-0.996,-4.766,145.165,0.0
604,-0.972,-4.827,173.986,0.0
605,-0.951,-4.59,140.754,0.0
