#{"t_start": 1738843143.6598868, "env_id": "BicycleBalance-v0"}
r,l,t
-3.0,10,0.130138
-6.0,9,0.140138
1.0,16,0.155992
3.0,24,0.179439
-1.0,12,0.19339
-6.0,7,0.199394
-3.0,18,0.217228
-7.0,6,0.222227
-1.0,12,0.233227
7.0,22,0.251521
-4.0,9,0.259521
-6.0,7,0.26552
-6.0,7,0.271521
-2.0,11,0.28052
-1.0,16,0.29752
-4.0,13,0.310526
-9.0,10,0.321833
-6.0,9,0.330828
-1.0,12,0.343825
-2.0,11,0.355531
-5.0,8,0.363531
-4.0,13,0.376868
3.0,16,0.390867
-6.0,11,0.40174
3.0,14,0.413735
-9.0,8,0.420737
-5.0,10,0.430736
2.0,17,0.447738
-2.0,15,0.461736
-3.0,10,0.471804
-4.0,9,0.479741
-9.0,14,0.494796
-3.0,10,0.507441
7.0,18,0.52402
1.0,12,0.535215
-3.0,8,0.542836
-5.0,8,0.549927
3.0,16,0.56493
-3.0,10,0.583779
0.0,17,0.597778
-3.0,8,0.606783
-4.0,11,0.614776
-3.0,12,0.624776
-5.0,10,0.632776
12.0,27,0.656338
1.0,14,0.667846
-4.0,7,0.674846
3.0,14,0.685846
8.0,21,0.706848
-6.0,7,0.711846
1.0,14,0.723848
0.0,15,0.739847
9.0,24,0.764844
-6.0,9,0.774851
0.0,15,0.789038
-3.0,12,0.801033
-3.0,12,0.814831
13.0,26,0.835832
-1.0,10,0.845831
6.0,17,0.859926
-5.0,8,0.867925
-12.0,9,0.875927
-3.0,14,0.88844
3.0,16,0.905439
-9.0,14,0.921157
7.0,18,0.937691
-6.0,9,0.946972
-2.0,11,0.957973
-7.0,8,0.964973
0.0,15,0.978525
-5.0,10,0.990096
-9.0,12,1.001689
-9.0,8,1.009198
-1.0,10,1.019197
-7.0,6,1.024197
2.0,21,1.042196
-1.0,10,1.052197
-2.0,13,1.065198
-9.0,10,1.074198
-2.0,13,1.0852
-1.0,14,1.097172
9.0,22,1.12047
-2.0,11,1.130969
-3.0,14,1.144012
0.0,13,1.156012
-6.0,9,1.163012
-8.0,9,1.171013
-5.0,10,1.181012
-4.0,9,1.188014
-8.0,5,1.19201
-7.0,8,1.19803
-2.0,11,1.208013
-8.0,5,1.213012
-1.0,12,1.225012
-5.0,8,1.231012
6.0,19,1.24801
4.0,27,1.272012
-5.0,6,1.277049
-8.0,13,1.287716
-8.0,5,1.292715
1.0,14,1.304032
-3.0,10,1.313031
2.0,19,1.333035
-8.0,5,1.337743
-2.0,11,1.348749
3.0,18,1.364752
-5.0,8,1.372753
-8.0,11,1.381752
-4.0,9,1.38875
-3.0,8,1.39575
0.0,13,1.40775
-6.0,11,1.416752
-5.0,8,1.42675
-6.0,7,1.432071
-7.0,10,1.44108
-8.0,11,1.451068
-1.0,12,1.461674
-5.0,10,1.470675
3.0,14,1.484168
3.0,14,1.498168
-5.0,10,1.507167
-8.0,9,1.514167
-4.0,11,1.526167
-3.0,10,1.535167
-9.0,12,1.545166
-6.0,9,1.552166
2.0,15,1.566172
-8.0,13,1.57717
-4.0,9,1.585779
-1.0,14,1.598995
2.0,15,1.612202
0.0,13,1.623203
-8.0,5,1.629561
-3.0,10,1.637561
4.0,17,1.651561
-7.0,10,1.660792
-1.0,18,1.676182
5.0,18,1.690181
-1.0,14,1.702184
-1.0,14,1.7152
-10.0,11,1.725199
-2.0,11,1.736197
-3.0,10,1.745186
-4.0,9,1.752186
-2.0,11,1.762186
-2.0,11,1.772186
-6.0,7,1.778183
1.0,12,1.791182
-2.0,11,1.803187
0.0,17,1.819187
2.0,15,1.835201
6.0,19,1.85018
0.0,13,1.863181
-8.0,7,1.869181
-4.0,9,1.877181
-5.0,10,1.885182
-8.0,5,1.890182
-3.0,12,1.900182
4.0,21,1.91918
-6.0,7,1.926181
-6.0,5,1.930181
-6.0,9,1.942945
-5.0,10,1.950943
-1.0,14,1.964945
-3.0,10,1.974941
3.0,14,1.986943
3.0,14,1.997943
-7.0,6,2.002943
-5.0,10,2.010943
-3.0,10,2.019953
10.0,21,3.093412
2.0,17,3.110412
0.0,15,3.124412
-5.0,20,3.147946
-8.0,9,3.156947
-6.0,7,3.164947
0.0,13,3.178948
-5.0,10,3.187112
7.0,20,3.203833
-4.0,15,3.216833
-4.0,9,3.225835
3.0,20,3.243472
-1.0,12,3.255471
-1.0,12,3.266471
-6.0,7,3.273474
3.0,14,3.288474
-3.0,16,3.304471
6.0,19,3.320473
-3.0,12,3.33147
-4.0,11,3.340471
-5.0,8,3.347507
6.0,23,3.365505
-2.0,9,3.373507
-4.0,19,3.392505
5.0,18,3.408949
3.0,16,3.422962
-4.0,9,3.430949
-1.0,14,3.443639
-8.0,11,3.452639
-2.0,13,3.466639
0.0,13,3.47964
0.0,15,3.496639
-5.0,8,3.504641
1.0,14,3.518093
-7.0,6,3.525092
-4.0,13,3.539093
-1.0,12,3.550095
-2.0,13,3.563093
-7.0,12,3.575056
0.0,19,3.59506
-5.0,6,3.600882
1.0,14,3.61488
-4.0,9,3.623116
-3.0,10,3.633183
-5.0,8,3.640182
1.0,14,3.651185
-6.0,9,3.660186
1.0,18,3.675183
3.0,16,3.692199
-2.0,15,3.703814
1.0,12,3.714813
5.0,18,3.73481
-5.0,10,3.74481
-3.0,14,3.75581
-5.0,8,3.763812
-1.0,10,3.772811
-4.0,13,3.782809
-2.0,13,3.796812
-6.0,7,3.802812
-2.0,11,3.812814
-3.0,8,3.819814
-3.0,10,3.829814
-3.0,18,3.845812
9.0,28,3.868914
4.0,19,3.885921
6.0,23,3.909922
-4.0,7,3.915921
-11.0,14,3.927923
-3.0,8,3.935924
-6.0,9,3.944453
-3.0,10,3.953811
0.0,13,3.96481
-9.0,14,3.976012
19.0,30,4.005997
1.0,14,4.019
-7.0,8,4.026998
-7.0,12,4.037996
-6.0,11,4.048996
-3.0,10,4.057993
-6.0,9,4.065994
-2.0,11,4.075996
-3.0,10,4.085162
-4.0,9,4.093162
-6.0,15,4.110694
-3.0,12,4.121693
-3.0,8,4.129347
-4.0,9,4.13835
9.0,22,4.15735
-3.0,10,4.165352
-1.0,10,4.175352
-4.0,9,4.184352
-6.0,7,4.19135
-10.0,9,4.200351
-7.0,12,4.21435
-1.0,12,4.225352
-5.0,12,4.23635
0.0,13,4.24835
-6.0,9,4.25735
24.0,45,4.301166
-2.0,11,4.314188
-5.0,8,4.321188
-5.0,16,4.335188
-9.0,12,4.346188
4.0,19,4.362188
-5.0,8,4.370188
-2.0,9,4.379188
-2.0,11,4.389188
-8.0,5,4.393188
0.0,13,4.403188
1.0,16,4.420189
-3.0,10,4.429282
-8.0,11,4.439271
-6.0,13,4.45218
-2.0,11,4.461747
-1.0,10,4.469398
3.0,16,4.484402
-3.0,10,4.493402
-11.0,10,4.501398
-3.0,14,4.516323
-8.0,5,4.521449
-1.0,12,4.531447
2.0,23,4.552453
-5.0,14,4.564449
-8.0,5,4.568449
-3.0,14,4.581448
-8.0,7,4.588449
3.0,16,4.602792
-4.0,7,4.608359
-7.0,8,4.616865
-8.0,15,4.63094
7.0,20,4.651177
1.0,16,4.667177
-2.0,15,4.682173
-4.0,9,4.692171
-1.0,20,4.711155
-4.0,9,4.721159
-3.0,10,4.730159
9.0,24,4.753159
10.0,23,4.773159
-4.0,9,4.781159
0.0,13,4.792158
6.0,27,4.815334
-6.0,11,4.829334
-5.0,10,4.840836
-1.0,10,4.848836
-4.0,11,4.858748
5.0,22,4.878747
-5.0,8,4.885751
0.0,13,4.898748
-1.0,14,4.910747
2.0,15,4.925747
-3.0,14,4.936748
3.0,14,4.949293
-10.0,7,4.957293
3.0,14,4.970234
1.0,14,4.984234
-3.0,12,4.995234
-3.0,14,5.009015
-3.0,16,5.997739
13.0,26,6.020738
-1.0,12,6.032592
-5.0,10,6.041589
0.0,13,6.051589
-5.0,10,6.059592
3.0,14,6.073593
-2.0,11,6.082596
0.0,13,6.094771
-7.0,12,6.106774
-9.0,8,6.115021
-6.0,11,6.12615
-9.0,8,6.133742
-2.0,11,6.144323
-7.0,12,6.156319
-3.0,8,6.16438
1.0,22,6.189818
-5.0,8,6.198815
-4.0,11,6.208815
-1.0,10,6.216814
-4.0,9,6.223816
-7.0,16,6.237817
-1.0,12,6.247814
4.0,15,6.259815
-2.0,13,6.270814
0.0,15,6.285817
-4.0,9,6.294819
-3.0,8,6.301815
6.0,19,6.320046
2.0,17,6.335389
-10.0,9,6.344392
-3.0,12,6.356557
-2.0,13,6.366557
-5.0,12,6.379559
-4.0,9,6.388558
-1.0,16,6.404396
-5.0,10,6.414398
0.0,13,6.425398
1.0,18,6.4404
-1.0,10,6.449401
-4.0,17,6.466396
3.0,16,6.48278
-9.0,16,6.495781
1.0,14,6.508784
-3.0,10,6.516783
-3.0,18,6.531792
1.0,12,6.54264
-3.0,10,6.552743
0.0,15,6.566912
-4.0,9,6.575915
8.0,19,6.595915
-10.0,15,6.609912
-5.0,10,6.618912
-5.0,8,6.625913
1.0,20,6.641912
-3.0,10,6.650912
3.0,18,6.669912
-4.0,13,6.682912
-3.0,14,6.698119
-10.0,9,6.707119
-2.0,11,6.71612
-3.0,14,6.729486
-7.0,14,6.742847
-2.0,9,6.751848
-6.0,7,6.756848
-4.0,9,6.763848
-4.0,9,6.771848
-3.0,16,6.78486
4.0,21,6.804848
-5.0,20,6.824847
-4.0,11,6.834846
8.0,21,6.853846
0.0,15,6.868116
0.0,13,6.880128
3.0,18,6.901119
-10.0,11,6.912115
-2.0,21,6.932788
-1.0,12,6.94333
-6.0,9,6.95233
-7.0,14,6.96533
0.0,13,6.977332
7.0,22,6.999744
3.0,14,7.011744
-4.0,11,7.020745
2.0,17,7.035744
-3.0,10,7.043744
-2.0,15,7.055745
-5.0,22,7.073013
-5.0,16,7.086014
-4.0,13,7.101013
-3.0,10,7.110372
-9.0,12,7.123375
-7.0,12,7.133924
-4.0,9,7.142919
5.0,16,7.156919
3.0,16,7.170919
-1.0,16,7.183993
0.0,11,7.194115
-6.0,9,7.205116
1.0,14,7.218116
-5.0,10,7.227115
1.0,12,7.237117
-2.0,21,7.254117
-4.0,9,7.262117
-3.0,10,7.270116
5.0,26,7.292145
-4.0,9,7.304148
-8.0,9,7.311147
0.0,13,7.323145
3.0,18,7.339147
-5.0,12,7.351145
6.0,23,7.372145
-3.0,20,7.390752
-4.0,11,7.406912
-7.0,6,7.411912
-2.0,11,7.421913
-4.0,17,7.436913
-4.0,9,7.44498
-2.0,11,7.454981
-9.0,14,7.465981
-4.0,9,7.474891
-3.0,16,7.490889
-6.0,9,7.498891
-5.0,8,7.507899
0.0,17,7.523888
2.0,15,7.53689
7.0,22,7.55789
-4.0,13,7.56889
-6.0,9,7.575973
-5.0,8,7.582974
-2.0,17,7.596814
-11.0,14,7.610736
1.0,14,7.622737
-4.0,9,7.630736
4.0,27,7.653248
0.0,11,7.665249
-3.0,10,7.675444
-9.0,6,7.681445
-3.0,8,7.687443
-3.0,12,7.698445
-1.0,12,7.707445
-4.0,15,7.724734
0.0,13,7.737751
6.0,21,7.756734
-8.0,7,7.763734
-5.0,10,7.771734
1.0,14,7.785734
-4.0,7,7.793281
-6.0,9,7.802279
5.0,18,7.82228
-7.0,8,7.82928
-7.0,8,7.835279
0.0,17,7.85028
-4.0,9,7.858279
4.0,15,7.871393
-5.0,14,7.885396
-4.0,13,8.860353
1.0,20,8.879355
2.0,15,8.893868
-3.0,22,8.913298
2.0,15,8.927298
-5.0,8,8.934298
0.0,13,8.944826
-8.0,19,8.963826
-1.0,14,8.974975
-6.0,9,8.982975
3.0,16,8.996975
8.0,19,9.012978
-2.0,11,9.023733
-8.0,17,9.039737
-7.0,12,9.052734
-6.0,15,9.066634
0.0,13,9.078631
0.0,13,9.090635
-7.0,8,9.098633
6.0,23,9.119632
3.0,18,9.136224
-4.0,21,9.158225
0.0,11,9.167226
8.0,21,9.186899
-3.0,10,9.194902
3.0,14,9.207906
2.0,13,9.2189
2.0,15,9.232907
-8.0,9,9.24293
-3.0,8,9.250213
-8.0,7,9.258215
-5.0,18,9.273531
0.0,15,9.28853
-8.0,9,9.296533
8.0,21,9.314531
2.0,15,9.327534
-2.0,11,9.335531
-4.0,17,9.350531
7.0,26,9.373531
-1.0,16,9.387534
-6.0,11,9.396554
-5.0,10,9.406167
4.0,15,9.419231
7.0,18,9.433232
-3.0,10,9.442231
2.0,15,9.456234
-3.0,14,9.471231
-2.0,13,9.482232
-4.0,9,9.489232
-4.0,9,9.497233
-6.0,7,9.502233
-5.0,10,9.511233
-9.0,8,9.518233
-10.0,15,9.530233
-4.0,13,9.541233
5.0,18,9.55695
0.0,13,9.570951
-1.0,20,9.590018
8.0,23,9.609021
3.0,20,9.625957
-6.0,7,9.631957
2.0,21,9.648957
-8.0,11,9.657957
2.0,21,9.678957
-3.0,12,9.688957
0.0,11,9.699725
-5.0,10,9.709741
-1.0,12,9.719314
-1.0,14,9.731336
0.0,15,9.743323
1.0,14,9.755975
-4.0,17,9.774959
-14.0,13,9.787961
-5.0,10,9.797961
10.0,23,9.819963
-2.0,11,9.82996
-5.0,14,9.842957
-9.0,14,9.855226
-2.0,9,9.864232
-7.0,8,9.87523
-2.0,11,9.884776
-3.0,10,9.893774
-3.0,10,9.903773
-5.0,10,9.912771
-4.0,11,9.923771
-2.0,11,9.934195
0.0,23,9.955868
-4.0,17,9.971043
-4.0,11,9.983037
9.0,22,10.004038
-4.0,9,10.013042
4.0,15,10.028041
-1.0,10,10.036042
4.0,21,10.058038
7.0,20,10.077038
-4.0,9,10.087215
1.0,18,10.104166
-8.0,19,10.12217
-7.0,10,10.132716
-3.0,12,10.145333
-7.0,8,10.153338
14.0,35,10.185336
7.0,18,10.202336
-4.0,11,10.212344
-5.0,8,10.219337
-6.0,9,10.226338
-1.0,14,10.239338
-3.0,12,10.249338
-8.0,25,10.273337
-8.0,5,10.279524
9.0,30,10.310606
4.0,15,10.324602
-3.0,10,10.334617
0.0,13,10.345601
-7.0,14,10.358601
0.0,13,10.3696
9.0,24,10.393256
-3.0,12,10.404256
13.0,24,10.430256
2.0,15,10.44526
4.0,15,10.45655
-4.0,13,10.468553
3.0,18,10.486143
2.0,17,10.504357
-8.0,13,10.518434
-3.0,10,10.527366
-4.0,9,10.534354
