r,l,t
14.920698,53,1.025591
16.123016,63,1.124172
-3.303654,42,1.18319
12.464799,51,1.269175
2.551761,39,1.326173
7.138655,47,1.400171
11.338662,77,1.515175
-0.901027,55,1.584723
3.481543,38,1.646723
-4.384975,38,1.709734
10.718932,49,1.78472
4.350547,44,1.86372
-4.678307,48,1.94972
-3.719348,39,2.012723
23.978385,70,2.14139
-1.063125,35,2.197374
2.05427,36,2.253385
7.740528,57,2.329371
5.00924,46,2.394376
0.635011,45,2.456372
9.508717,39,2.511681
-7.327556,37,2.568207
-0.998584,49,2.646221
3.295051,54,2.730209
4.029593,52,2.811224
3.462856,38,2.863211
5.95113,50,2.934224
3.683292,53,3.016208
-2.690992,52,3.09021
-1.947424,35,3.132795
0.570332,40,3.188798
4.10101,38,3.240794
-4.876821,55,3.319796
16.928957,67,3.409796
5.415895,40,3.459798
6.482909,51,3.526798
9.4499,60,3.612338
7.619151,42,3.672948
1.769756,44,3.733784
-2.948149,45,3.790785
2.408226,46,3.847786
-4.965821,52,3.922684
34.355688,79,14.22875
-6.142037,47,14.325941
9.994395,44,14.395941
9.198258,51,14.462955
7.129412,55,14.529942
4.078796,55,14.599508
3.293915,52,14.672233
5.847423,40,14.728233
-4.732916,56,14.807235
0.706825,48,14.868252
6.120514,57,14.937237
14.126728,61,15.015018
-0.300296,38,15.063185
1.215096,67,15.151726
-4.575725,51,15.223726
13.227405,56,15.305739
13.170159,48,15.372726
1.626982,48,15.439726
-4.178975,41,15.496729
3.496856,47,15.556916
-10.940746,39,15.608312
1.385276,37,15.655125
3.679667,40,15.705144
4.762353,52,15.76613
0.562061,41,15.824446
8.324978,50,15.897444
3.347081,51,15.965459
-0.85696,47,16.025445
2.832451,49,16.084443
13.561449,54,16.154032
1.236078,45,16.210045
7.268243,41,16.260033
3.604983,53,16.327376
18.213057,57,16.400755
-7.943878,45,16.457365
3.779769,46,16.535364
-0.688961,60,16.634898
6.33586,57,16.711902
0.110603,64,16.789751
7.432003,47,16.849738
0.063191,39,16.898392
-3.438283,36,27.376232
-0.719876,47,27.455209
4.897491,47,27.535398
-6.525796,42,27.602033
-1.326759,46,27.6632
15.313751,60,27.745188
3.462804,43,27.800596
5.481354,46,27.870012
5.565283,44,27.946012
7.778705,47,28.016013
18.339528,65,28.100018
10.4044,58,28.175575
1.238808,58,28.248578
4.353302,56,28.318848
9.312908,57,28.390621
0.074127,68,28.47776
11.801725,51,28.540767
1.924774,60,28.618805
5.579568,58,29.1519
22.264246,62,29.258447
-9.063381,35,29.308562
7.681845,58,29.389113
2.56789,47,29.453111
1.416056,52,29.521113
19.085563,64,29.613357
16.176805,60,29.705743
7.646592,51,29.784744
13.121072,57,29.867746
20.332055,64,29.951742
4.974893,49,30.020752
0.052867,39,30.071756
3.446205,54,30.16453
3.057668,44,30.243792
-2.931099,49,30.315483
3.750019,41,30.373533
-4.744373,45,30.435053
0.514411,44,30.494804
18.211085,56,30.562409
11.060665,43,30.623211
27.477185,74,30.741615
12.830357,58,41.134588
9.28169,47,41.213977
5.178728,60,41.295866
