#{"t_start": 1736923110.9902515, "env_id": "BicycleBalance-v0"}
r,l,t
-7.922221,9,0.045509
-7.317752,10,0.055571
-9.57737,10,0.067506
-2.937095,14,0.082508
1.052813,23,0.104517
-5.168799,11,0.115506
-7.022465,9,0.123509
-7.198051,7,0.133515
-7.802717,20,0.154794
-3.588469,12,0.169797
-4.126723,14,0.185305
-4.711134,12,0.197307
-7.437405,8,0.204303
-8.647541,14,0.219304
-8.076928,10,0.229303
-9.223676,11,0.242326
-6.991243,10,0.254096
-10.609588,12,0.267637
-6.335918,7,0.279639
-9.295179,10,0.289638
-7.7673,13,0.303639
-1.599015,17,0.319637
-9.126761,7,0.326639
-6.220641,12,0.341026
-9.834669,6,0.347023
-9.74091,9,0.355023
-9.340049,13,0.370025
-2.791705,17,0.389023
-7.146319,13,0.402023
-8.327131,8,0.411026
-5.608066,16,0.431211
-9.238114,10,0.446317
-7.883517,19,0.466319
-4.116595,21,0.486329
-13.457739,15,0.500993
-8.022387,14,0.512995
-6.310202,9,0.521983
3.99102,20,0.539983
-3.61061,17,0.558984
-7.609615,10,0.569986
-10.242605,9,0.580684
-4.436747,12,0.591676
-6.281664,12,0.603675
-10.934485,10,0.615674
-5.21194,12,0.629783
-6.285628,13,0.640787
-2.423169,16,0.662781
-9.786175,9,0.671782
-13.406574,11,0.684015
-4.024694,15,0.699029
-6.237634,18,0.718593
-7.507075,11,0.730011
-8.100502,7,0.737011
-4.268337,14,0.755238
-7.336076,10,0.765423
-8.900877,7,0.77168
-7.126289,12,0.784682
-8.455642,13,0.7977
-13.108683,11,0.80968
-4.274869,13,0.823683
-8.39869,12,0.835681
-6.729074,11,0.845695
-9.057505,6,0.85068
-8.164558,7,0.861683
-5.047825,12,0.872681
-9.829991,9,0.881683
-8.865447,12,0.892699
-10.774932,8,0.900681
-10.354491,8,0.907679
-5.820725,13,0.919694
-7.985089,8,0.926682
-10.223986,9,0.933684
-6.886767,12,0.945683
-1.761001,20,0.968686
5.616551,26,0.994245
-8.358961,12,1.006257
-11.704416,8,1.013763
-7.280427,11,1.022749
-11.170814,8,1.03175
-7.811155,10,1.039749
-7.969477,9,1.050769
-5.795626,13,1.065751
-9.629616,12,1.076752
-8.196272,10,1.084751
-6.180179,11,1.095753
-7.021634,11,1.104848
-3.79807,15,1.118828
-8.299033,11,1.128757
-7.61165,15,1.141759
-8.227197,7,1.148901
-5.231437,13,1.159897
-5.272757,14,1.174906
-3.512662,20,1.192896
-9.484862,7,1.200898
1.017414,25,1.2289
-2.699642,15,1.241896
-9.123754,13,1.254896
-3.765873,14,1.270631
-10.902327,10,1.280359
-6.981453,18,1.298376
1.111951,21,1.317373
-7.448715,15,1.331379
-2.450501,26,1.355366
-6.926505,12,1.365366
-7.636459,8,1.375441
-8.951936,10,1.386366
-5.731827,11,1.397579
-2.614901,12,1.409643
-5.811448,15,1.424643
-8.150322,9,1.434666
-6.73409,12,1.44558
-6.231536,20,1.467181
-6.591169,12,1.480181
-7.385641,10,1.489177
-7.77155,9,1.497178
-11.387739,10,1.505179
-8.324632,11,1.514187
-6.868199,11,1.525186
-2.037577,19,1.540177
-2.646354,17,1.555179
-6.976219,14,1.567186
-6.972983,17,1.587179
-7.077726,13,1.600179
-8.219386,9,1.609179
-6.18825,9,1.61818
-6.678763,11,1.629806
-7.809192,8,1.638728
-6.990503,13,1.650814
-7.177655,11,1.661248
-8.87361,11,1.682811
-10.213948,6,1.68781
-8.596899,9,1.695811
-8.315106,9,1.705815
-9.764038,15,1.720824
-3.484854,15,1.735811
-6.995124,13,1.750812
-8.966179,7,1.75681
-7.123017,9,1.764884
-9.227432,8,1.772875
-9.947128,8,1.783809
-6.538641,11,1.79489
-5.439309,13,1.806903
-9.540042,8,1.814878
-9.286038,11,1.828
-9.171402,12,1.842005
-7.629718,10,1.85401
-11.03964,9,1.863098
-9.498337,8,1.870007
-5.887958,11,1.881081
-3.04886,15,1.899004
-8.872994,12,1.911009
-2.205384,13,1.924577
-7.830315,9,1.933494
-0.768464,14,1.947803
-11.479013,10,1.957989
-7.138483,10,1.967767
-6.001875,11,1.97734
-10.508141,9,1.984341
-10.639896,12,1.999412
-8.396085,8,2.007341
-0.824054,18,2.027341
-10.759869,13,2.044399
-2.394083,17,2.061341
-4.279714,18,2.07935
-8.963833,13,2.094342
-9.177354,9,2.103354
-9.105999,7,2.111341
-9.360369,9,2.12234
-8.790384,7,2.128423
-10.123131,10,2.137417
-9.955758,9,3.220267
-7.670189,13,3.235271
-7.682371,12,3.246277
-8.775994,14,3.25926
-7.624884,9,3.26927
-10.630776,12,3.280279
-2.416547,16,3.297262
-11.117779,9,3.306261
-2.539934,14,3.32126
-10.294959,11,3.334012
-6.001379,9,3.341002
-2.319095,20,3.361002
-6.219168,16,3.377009
-5.869954,14,3.388012
-5.761112,10,3.398012
1.230131,19,3.414013
-5.896926,13,3.424013
-10.247672,9,3.435012
-3.402101,14,3.448001
-11.876255,17,3.465284
-6.045892,11,3.475283
-5.832836,12,3.488285
-9.400387,9,3.497284
-7.340701,8,3.505286
-9.325202,6,3.511359
-6.953415,13,3.522913
-6.617241,10,3.533917
-2.25543,20,3.55706
-7.100813,11,3.57006
-1.161941,25,3.611266
-6.467811,8,3.630173
-9.88292,7,3.643706
-8.119504,12,3.656708
-9.875068,13,3.669704
-5.925538,14,3.68272
-6.103234,13,3.696706
-9.672066,9,3.705707
-6.673358,12,3.720706
-1.849965,19,3.74814
-7.315432,11,3.764225
-5.394491,15,3.781493
-9.232072,9,3.790493
-5.031536,17,3.805494
-6.616315,14,3.818495
-6.871469,10,3.827495
-10.260018,7,3.835608
-10.614958,13,3.852408
-5.99527,13,3.870032
-12.300058,12,3.885489
-10.569265,15,3.902502
-7.161899,10,3.91049
-7.550964,12,3.92149
-9.990034,11,3.931491
-0.190805,19,3.954103
-9.033249,11,3.966104
-10.850248,14,3.98067
-7.61284,11,3.992679
-8.127634,11,4.003672
-10.313533,7,4.015368
-9.601057,8,4.02786
-9.768202,7,4.038907
-2.437889,15,4.058363
-7.110451,11,4.073364
-7.764559,14,4.092727
-4.460914,20,4.11687
-10.576876,11,4.130939
-11.322935,10,4.139867
-9.881671,11,4.156089
0.60233,22,4.181377
-6.604876,17,4.20137
-4.142554,12,4.21488
-6.728459,10,4.225889
-7.324075,8,4.233877
-8.042859,9,4.242879
-9.111628,10,4.255877
-4.467114,13,4.270775
-8.920627,7,4.277772
-13.198699,14,4.294382
-6.291219,11,4.308381
-6.684054,12,4.323596
-1.539453,16,4.338598
4.917723,28,4.371056
-10.824942,7,4.379144
-6.479393,10,4.390141
-9.799272,8,4.400358
-3.903301,16,4.42299
-5.122983,9,4.43399
-7.152245,10,4.444003
-2.436287,18,4.471241
-12.625164,9,4.481578
3.48995,21,4.507493
-4.92375,12,4.521625
-7.484678,10,4.530624
-3.192901,19,4.549638
-1.671116,17,4.569861
7.562717,31,4.597864
-5.482738,12,4.609863
-3.516179,17,4.631429
-10.125371,9,4.641428
-9.963948,6,4.649427
-5.415137,18,4.671429
-9.525544,8,4.680429
0.333961,19,4.698131
-8.350941,18,4.716129
-5.113528,19,4.734148
4.214673,23,4.755543
-11.111417,11,4.765542
-6.636908,13,4.780544
-9.60365,7,4.787679
-9.497319,10,4.797696
-4.107869,11,4.808684
-8.057477,12,4.823058
-3.501498,15,4.839723
-9.085178,10,4.852003
-9.331052,9,4.862004
-5.963525,9,4.875751
-9.949501,8,4.885813
-9.003878,9,4.897624
-8.483236,13,4.911721
-6.47165,16,4.928046
-4.197403,16,4.945045
-7.851901,10,4.955973
-5.495836,12,4.967504
-6.806787,16,4.98705
-9.518425,13,5.00286
-3.265005,20,5.023799
-9.234232,5,5.029051
-5.065148,12,5.041745
-5.196317,11,5.053705
-9.234862,5,5.059468
-5.374387,9,5.068786
0.315855,18,5.086791
-1.784177,17,5.101778
-11.747845,10,5.110785
-0.748664,23,5.132773
-5.577232,16,5.149398
-10.175536,10,5.158398
-4.432822,13,5.169398
-2.510544,17,5.187407
-8.049751,9,5.194408
-6.828472,14,5.207825
-2.770517,17,5.222596
-8.199771,13,5.233881
-11.762336,16,5.249383
-8.507126,14,5.260847
-7.734047,8,5.269139
-8.765225,11,5.278465
-6.848378,15,5.294655
-6.432041,9,5.304393
-10.121211,9,5.315395
-12.261041,17,5.33372
-6.327317,10,5.344479
-6.451404,12,5.354921
3.59606,27,5.381526
-6.173356,9,5.392524
-9.511465,13,5.404736
-3.294702,13,5.425059
-3.841428,14,5.444319
-8.173148,8,5.453317
-5.92617,11,5.468058
-5.497973,22,6.550055
-4.004191,10,6.569086
-11.540746,12,6.583266
-6.95903,12,6.598321
-7.057462,9,6.608901
-4.733414,17,6.633732
-6.753367,12,6.651389
-8.915786,9,6.660569
-6.540178,17,6.677115
-8.080281,15,6.69241
-5.477394,12,6.704411
-3.008798,16,6.718598
-8.592198,7,6.72572
-6.552544,17,6.74608
-7.900196,10,6.756532
2.118919,22,6.779419
-8.337983,11,6.791674
-7.531345,9,6.800158
-5.765819,9,6.809165
-9.374658,7,6.815162
-3.728292,13,6.827441
-4.94126,15,6.844652
-5.477741,13,6.85912
-7.512642,10,6.869687
-3.899163,18,6.886708
-7.584877,8,6.893702
-11.060703,9,6.902701
-7.91976,12,6.914692
-5.124832,15,6.927695
-9.605731,12,6.941692
-4.003637,10,6.950691
-11.8399,9,6.959707
0.931988,19,6.97726
-6.760185,14,6.990259
-3.447274,16,7.006255
-6.261796,9,7.015254
-6.886659,12,7.026252
-5.648698,16,7.046317
-8.813085,12,7.058777
-11.876615,12,7.072546
-6.941316,14,7.088205
-3.482411,12,7.099884
-8.888812,9,7.109395
-9.494481,7,7.116905
