#{"t_start": 1736919827.828591, "env_id": "BicycleBalance-v0"}
r,l,t
-9.40012,8,0.146592
-8.335399,11,0.15859
0.883718,25,0.18059
-7.404417,14,0.19259
-3.677579,14,0.206591
-8.648274,6,0.21159
-2.982765,25,0.23159
-2.056364,21,0.249606
-11.921223,9,0.256592
-9.972594,10,0.265605
-7.999496,9,0.273594
-5.282502,11,0.282595
-6.003216,13,0.295597
-7.331312,8,0.3026
-10.783943,8,0.31261
-9.414688,10,0.322609
-4.573666,18,0.33961
-8.163606,8,0.347609
-11.175301,10,0.355612
-10.030565,14,0.367624
-11.75204,9,0.375611
-11.03883,13,0.386613
-3.834028,12,0.396611
-7.562111,11,0.410608
-7.182823,11,0.419611
-5.097749,12,0.431614
-6.075299,13,0.442607
-6.775436,14,0.455608
-11.402337,11,0.465607
-3.025821,16,0.487432
-8.920798,8,0.493433
-10.337756,8,0.500428
-9.533215,7,0.506428
-6.439871,10,0.518429
2.9857,21,0.538429
-4.510476,14,0.550503
-10.014952,10,0.560432
-7.992775,7,0.566433
-6.321559,9,0.574432
-7.910458,13,0.585432
-5.418681,10,0.594445
-4.749538,16,0.606432
-5.20613,15,0.622432
-4.644203,13,0.634431
-1.868832,25,0.658434
-9.432962,8,0.667429
-9.163303,8,0.67543
-3.138324,17,0.69243
-4.641603,14,0.704431
1.451844,29,0.738431
-12.300319,10,0.751429
-8.316608,10,0.761429
-11.207822,9,0.77143
-1.917449,15,0.78914
-2.206485,16,0.805155
-3.85389,13,0.817264
-6.026954,9,0.827248
-5.160781,10,0.836247
-8.627548,13,0.84725
-8.704128,9,0.854247
-7.630244,14,0.867024
-6.995363,13,0.886683
-8.050142,9,0.894686
-7.145271,10,0.901685
-7.376905,11,0.910687
10.10492,32,0.939687
-11.776905,11,0.948683
-10.305533,10,0.956687
-10.326013,9,0.963689
-9.582639,8,0.970696
-5.901499,14,0.984683
-6.037588,13,0.995684
-5.350255,9,1.002688
-6.997364,10,1.010685
-8.972265,12,1.020683
-2.906999,17,1.038686
-11.573207,9,1.048686
-2.267115,19,1.066685
-9.879167,8,1.073687
0.847043,21,1.092683
-3.688387,12,1.101683
-9.261776,11,1.111683
-8.63935,13,1.122683
-8.337808,10,1.132684
-8.840928,8,1.138791
-4.630408,12,1.150025
-12.336572,10,1.160026
-6.920829,10,1.170027
-4.019415,11,1.179025
-1.217656,14,1.192026
-7.808373,8,1.19804
-12.089342,11,1.206027
-5.346547,14,1.220026
-0.499492,16,1.23803
-8.864454,15,1.251029
-4.637442,16,1.267025
-3.588882,12,1.277025
-10.281494,9,1.285025
-5.862105,15,1.299025
-8.029706,14,1.310024
-3.049198,14,1.320025
-7.550189,6,1.325025
-5.290676,11,1.333025
-8.48352,13,1.346026
-8.295969,10,1.354026
-1.418921,18,1.372034
-6.884508,14,1.383026
-5.922858,14,1.395027
-1.966813,15,1.408031
-8.018561,9,1.416029
3.263151,23,1.436025
-5.243354,16,1.452027
-4.68403,14,1.463025
-8.586311,12,1.473027
-6.002669,8,1.479025
-0.203909,18,1.493027
-8.307831,9,1.500027
-7.585126,14,1.513028
-4.865287,16,1.525025
-8.106942,9,1.533037
-13.429673,16,1.550025
-6.752333,18,1.567026
-11.500519,11,1.576027
-7.004163,13,1.589025
-4.050685,19,1.605025
-10.526639,13,1.616026
-1.140315,21,1.634027
-0.791272,18,1.65204
-8.688367,9,1.660028
-7.558513,13,1.670026
-8.813785,9,1.680026
-6.149672,13,1.690025
-5.792072,9,1.697029
-8.889015,10,1.705025
-2.761985,19,1.721683
-3.042838,13,1.734396
-8.553664,13,1.750588
-6.674162,13,1.765586
-9.804028,9,1.775589
-7.375055,11,1.789174
-7.086156,11,1.803172
-8.737404,8,1.812187
-6.383633,8,1.819173
-4.023987,25,1.841416
-10.759999,9,1.851414
-8.970346,11,1.861416
-8.528771,10,1.870415
-2.50206,13,1.882414
-3.576992,12,1.893416
-9.512224,8,1.901415
-10.38775,14,1.916266
2.024906,23,1.935589
-10.734369,11,1.943587
-5.947712,10,1.954585
-7.338634,12,1.96626
-12.7962,10,1.975474
-9.896081,10,1.985664
-5.45555,17,2.001349
-8.52439,8,2.00902
-2.742028,20,2.027242
-7.174593,11,2.037242
-8.434908,17,3.107244
-16.536016,17,3.123241
-6.580856,10,3.132242
-8.205588,16,3.145792
-9.234232,5,3.150792
1.072105,17,3.164303
-6.397581,10,3.174452
-9.040419,7,3.180452
-7.851523,10,3.192332
-9.990804,6,3.202836
-11.524358,9,3.21292
-3.286106,15,3.23092
-8.368686,14,3.246847
-9.559994,7,3.252848
-7.240484,9,3.262285
-6.295724,10,3.270865
-0.577817,18,3.287736
-8.493744,23,3.312557
-2.445362,18,3.33122
-7.304168,12,3.341556
-6.12267,11,3.35307
-8.124161,9,3.361073
-9.914811,8,3.367074
-11.519851,9,3.374074
-8.054346,7,3.379072
-7.289805,13,3.389072
-8.778639,10,3.397074
3.679486,22,3.42007
-9.323979,11,3.431072
-0.743607,20,3.451071
-8.89041,9,3.459071
-9.626123,19,3.475089
-10.825792,8,3.48107
-1.549047,18,3.496071
-5.643599,9,3.505072
-7.59287,11,3.515072
-9.872478,10,3.523075
-2.292041,17,3.538085
-5.892556,14,3.550072
-11.201972,11,3.56007
-6.196218,10,3.568068
-7.92768,8,3.575069
-10.854311,12,3.587069
-8.224422,7,3.593646
-8.69609,9,3.610947
-4.816735,16,3.623943
-7.49579,9,3.631941
-7.943121,8,3.639941
-8.538699,9,3.648941
-7.576864,8,3.655941
-9.772237,9,3.66294
-2.669064,12,3.673941
