Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,,,,,,,,,,,
0,0,0.052359878,0.087266463,0.122173048,0,3.000000025,5,7,,,,,,,,,,,,
1,0,0.052359878,0.087266463,0.122173048,0,3.000000025,5,7,,,,,,,,,,,,
2,0.012141934,-0.01993514,-0.052979123,-0.035944706,0.695681591,-1.142199386,-3.035480143,-2.059479968,,,,,,,,,,,,
3,0.008751903,-0.016065489,-0.031354626,-0.020363728,0.501447128,-0.920484716,-1.79648774,-1.166755687,,,,,,,,,,,,
4,0.001876657,-0.007374606,-0.014451714,-0.014017313,0.107524518,-0.422533799,-0.828022191,-0.803132856,,,,,,,,,,,,
5,-0.002818115,0.001127532,0.002956601,-0.003293409,-0.161466119,0.064602825,0.169400759,-0.188698432,,,,,,,,,,,,
6,-0.005051627,0.008981169,0.017067465,0.007415441,-0.289436919,0.514583079,0.977893719,0.424873453,,,,,,,,,,,,
7,-0.004788649,0.01567342,0.026146643,0.017202536,-0.274369364,0.898020817,1.498092294,0.985632694,,,,,,,,,,,,
8,-0.002161141,0.016543315,0.029304799,0.021303984,-0.12382424,0.947862129,1.679041325,1.220628367,,,,,,,,,,,,
9,0.002713236,0.012423298,0.026849475,0.019849992,0.155456947,0.711802543,1.538361584,1.137320752,,,,,,,,,,,,
10,0.005363207,0.004751774,0.019320318,0.014027785,0.307289118,0.272256595,1.106972687,0.803732905,,,,,,,,,,,,
11,0.00627891,-0.000601946,0.007510597,0.005193325,0.359755072,-0.034488965,0.43032553,0.297555596,,,,,,,,,,,,
12,0.006071686,-0.003381543,-0.003105265,-0.005289838,0.347881958,-0.193748142,-0.177918583,-0.303085415,,,,,,,,,,,,
13,0.005442504,-0.003500565,-0.011604579,-0.011722896,0.311832534,-0.2005676,-0.664893424,-0.671672441,,,,,,,,,,,,
14,0.005083422,-0.001064328,-0.017054022,-0.013545293,0.291258621,-0.060981502,-0.97712347,-0.776088114,,,,,,,,,,,,
15,0.005620377,-0.000691293,-0.019080475,-0.010926556,0.322023872,-0.039608171,-1.093230693,-0.626045517,,,,,,,,,,,,
16,0.002991,-0.001455091,-0.017673622,-0.004173229,0.171371694,-0.083370573,-1.012623946,-0.239108397,,,,,,,,,,,,
17,-0.001354124,-0.002492317,-0.012715437,0.002359338,-0.077585571,-0.142799245,-0.728540892,0.135180084,,,,,,,,,,,,
18,-0.005998709,-0.003027136,-0.004345274,0.008582392,-0.343700722,-0.173442117,-0.248965842,0.491734864,,,,,,,,,,,,
19,-0.00972713,-0.002413533,0.002833184,0.01000939,-0.557323511,-0.138285255,0.162329505,0.57349581,,,,,,,,,,,,
20,-0.011538981,-0.000160146,0.008835065,0.007597815,-0.661134894,-0.00917569,0.506211927,0.435322711,,,,,,,,,,,,
21,-0.010617772,-0.000442072,0.013540158,0.002687922,-0.608353542,-0.02532886,0.775793902,0.154006594,,,,,,,,,,,,
22,-0.006432325,-0.001937285,0.012657868,-0.003311537,-0.368545065,-0.110998254,0.72524239,-0.189737091,,,,,,,,,,,,
23,-0.003138082,-0.003467842,0.007472623,-0.009180098,-0.179798864,-0.198692711,0.428149741,-0.525980864,,,,,,,,,,,,
24,0.000257486,-0.004025532,-0.000363158,-0.013897897,0.014752834,-0.230645994,-0.020807395,-0.796290822,,,,,,,,,,,,
25,0.004228167,-0.002820882,-0.00481806,-0.016643567,0.242256111,-0.161624633,-0.27605451,-0.953606127,,,,,,,,,,,,
26,0.004750212,0.000707996,-0.005637158,-0.016677353,0.272167114,0.040565183,-0.322985383,-0.955541918,,,,,,,,,,,,
27,0.003066492,0.002765213,-0.002899837,-0.013295553,0.175697058,0.158435034,-0.16614841,-0.761779067,,,,,,,,,,,,
28,0.000443163,0.004168362,-0.001039947,-0.006203172,0.025391359,0.23882955,-0.059584566,-0.355415554,,,,,,,,,,,,
