Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,左边PID数据，右边强化学习数据,Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,,,,,,,,,,,
0,0,0.052359878,0.087266463,0.122173048,0,3.000000025,5.000000023,7.000000021,,,0,0,0.052359878,0.087266463,0.122173048,0,3.000000025,5,7,,,,,,,,,,,,
1,0,0.052359878,0.087266463,0.122173048,0,3.000000025,5.000000023,7.000000021,,,1,0,0.052359878,0.087266463,0.122173048,0,3.000000025,5,7,,,,,,,,,,,,
2,-0.000310112,-0.014576628,-0.0294909,-0.022462425,-0.017768109,-0.835179264,-1.689704104,-1.28700215,,,2,0.012141934,-0.01993514,-0.052979123,-0.035944706,0.695681591,-1.142199386,-3.035480143,-2.059479968,,,,,,,,,,,,
3,-0.001181243,-0.0261192,-0.089388377,-0.135106695,-0.067680238,-1.496519924,-5.12157674,-7.741043407,,,3,0.008751903,-0.016065489,-0.031354626,-0.020363728,0.501447128,-0.920484716,-1.79648774,-1.166755687,,,,,,,,,,,,
4,-0.002238383,-0.019166321,-0.089486266,-0.141958877,-0.128249899,-1.098149302,-5.127185366,-8.133644517,,,4,0.001876657,-0.007374606,-0.014451714,-0.014017313,0.107524518,-0.422533799,-0.828022191,-0.803132856,,,,,,,,,,,,
5,-0.003142046,-0.018712852,-0.079157394,-0.115654613,-0.180025975,-1.072167442,-4.535384593,-6.626521206,,,5,-0.002818115,0.001127532,0.002956601,-0.003293409,-0.161466119,0.064602825,0.169400759,-0.188698432,,,,,,,,,,,,
6,-0.003958447,-0.02001195,-0.071386792,-0.100666911,-0.226802307,-1.146600275,-4.090161895,-5.767789137,,,6,-0.005051627,0.008981169,0.017067465,0.007415441,-0.289436919,0.514583079,0.977893719,0.424873453,,,,,,,,,,,,
7,-0.004888333,-0.021987887,-0.064431928,-0.088543239,-0.28008085,-1.259813126,-3.69167754,-5.073153899,,,7,-0.004788649,0.01567342,0.026146643,0.017202536,-0.274369364,0.898020817,1.498092294,0.985632694,,,,,,,,,,,,
8,-0.005947835,-0.024360153,-0.058227694,-0.077292199,-0.340785843,-1.395733955,-3.336201117,-4.428516792,,,8,-0.002161141,0.016543315,0.029304799,0.021303984,-0.12382424,0.947862129,1.679041325,1.220628367,,,,,,,,,,,,
9,-0.007009373,-0.027012274,-0.052872883,-0.067062236,-0.40160749,-1.547689295,-3.029393047,-3.842383088,,,9,0.002713236,0.012423298,0.026849475,0.019849992,0.155456947,0.711802543,1.538361584,1.137320752,,,,,,,,,,,,
10,-0.00799258,-0.029880513,-0.048430571,-0.058116874,-0.457941101,-1.712027285,-2.774867318,-3.329851599,,,10,0.005363207,0.004751774,0.019320318,0.014027785,0.307289118,0.272256595,1.106972687,0.803732905,,,,,,,,,,,,
11,-0.00894815,-0.032916388,-0.044904097,-0.050612623,-0.512691229,-1.885970109,-2.572815241,-2.899889688,,,11,0.00627891,-0.000601946,0.007510597,0.005193325,0.359755072,-0.034488965,0.43032553,0.297555596,,,,,,,,,,,,
