#{"t_start": 1730800626.0318651, "env_id": "BicycleMaze-v0"}
r,l,t
-5.608011,3,5.222681
-4.020568,4,5.459172
-6.241623,10,5.905186
-5.63411,3,6.04056
-3.771963,4,6.204185
-3.836175,10,6.583536
-6.893736,15,7.169516
-4.222537,6,7.408445
-4.588644,5,7.630165
-4.714583,4,7.804946
-4.9191,4,7.979963
-5.870443,4,8.161244
-4.703236,3,8.260063
-3.172297,18,8.976219
-6.021514,4,9.181054
-5.542702,4,9.365238
-5.947706,6,9.661914
-1.830057,22,10.621004
-4.725231,3,10.762887
-4.095575,6,11.080179
-6.190009,4,11.245329
-6.957374,5,11.493911
-3.09492,8,11.863227
-6.746777,8,12.206879
-5.596944,3,12.344918
-6.707236,3,12.493607
-5.726893,3,12.602481
-4.672277,6,12.879409
-3.211258,6,13.08411
-4.963927,6,13.36681
-4.908595,6,13.601231
-4.654018,3,13.717181
-5.796647,5,13.964154
-5.691809,3,14.097377
-8.047228,6,14.364285
-3.332987,6,14.66484
-5.628504,9,15.054818
-4.733611,3,15.179444
-5.609551,9,15.584423
-6.619979,6,15.845998
-5.595442,3,15.957933
-4.252433,11,16.466482
-4.453068,9,16.881319
-4.356001,4,17.046589
-5.495997,8,17.422315
-4.255777,5,17.687966
-5.730301,3,17.830605
-3.783668,7,18.123846
-5.59305,3,18.235994
-1.901728,10,18.620359
-5.478382,6,18.885749
-8.133803,7,19.205381
-4.858986,5,19.447153
-4.730566,3,19.567891
-6.876018,5,19.795827
-9.577731,7,20.088381
-6.689188,5,20.323461
-5.431287,12,20.847801
-5.596309,4,21.062367
-5.796976,8,21.399083
-6.122518,7,21.740188
-5.141889,6,22.003999
-6.889214,5,22.247798
-5.12023,7,22.628704
-4.628996,3,22.770377
-6.525372,4,22.936415
-7.224591,7,23.188767
-7.604941,15,23.827643
-4.602141,4,23.997683
-4.769665,3,24.112289
-4.41199,3,24.269034
-3.563482,5,24.514699
-5.809262,6,24.777823
-5.013833,4,24.989526
-4.357735,7,25.309429
-8.990775,9,25.712423
-3.962331,6,25.958559
-6.995499,12,26.443916
-2.990648,7,26.755479
-5.280094,4,26.956594
-4.98422,4,27.139241
-5.686725,7,27.450388
-5.377906,3,27.547585
-5.181959,8,27.872487
-5.278871,6,28.118152
-1.192465,20,28.992064
-4.632203,3,29.132352
-3.725068,8,29.454395
-5.714879,3,29.578775
-3.214817,8,29.935393
-7.253897,11,30.379017
-6.05377,7,30.746377
-5.0656,4,30.934932
-6.695374,3,31.055578
-4.709773,6,31.314662
-5.743209,3,31.523832
-4.497639,5,31.718851
-4.256361,4,31.923876
-4.462851,4,32.075086
-6.084044,7,32.346436
-1.292882,16,32.972073
-4.193106,12,33.459352
-4.914258,13,34.034814
-6.690052,18,34.877121
-4.591757,3,34.984277
-6.545811,7,35.283459
-3.053049,8,35.666264
-5.650761,3,35.795416
-4.530708,4,35.962119
-5.935262,5,36.168841
-7.280835,10,36.565535
-5.591206,3,36.697098
-5.214781,4,36.847241
-4.87693,5,37.052091
-5.762606,7,37.365974
-7.564029,10,37.770691
-3.496767,7,38.125943
-4.329921,9,38.469404
-5.431138,11,38.948918
-5.005208,4,39.067287
-2.471826,29,40.285767
-4.029404,8,40.624112
-6.484215,6,40.888299
-6.052432,8,41.302581
-3.948275,12,41.820531
-4.19534,8,42.136059
-4.611407,3,42.259817
-4.567432,4,42.45129
-4.944291,6,42.705175
-4.719184,3,42.826036
-5.521196,3,42.973216
-4.680683,12,43.525474
-4.184338,5,43.767518
-5.829431,6,44.111233
-5.752037,3,44.269618
-5.576925,7,44.70649
-5.982177,5,44.874116
-4.171095,7,45.153121
-4.612281,6,45.427065
-5.893673,12,45.864764
-5.713937,3,45.981204
-4.833059,4,46.119197
-3.449933,6,46.348915
-7.428514,13,46.969262
-4.803392,4,47.149318
-5.472261,7,47.484496
-6.680094,3,47.589071
-5.824736,7,47.906501
0.029371,16,48.588537
-5.72054,6,48.866316
-3.752917,5,49.190433
-4.020181,9,49.565006
-4.748779,7,49.88324
-6.391855,10,50.269096
-3.745516,7,50.545509
-5.693685,6,50.781352
-1.339577,11,51.261217
-6.064629,6,51.524582
-7.297046,5,51.782591
-4.713808,3,52.021169
-6.422604,5,52.286256
-4.648856,7,52.582018
-4.348028,8,52.907348
-4.778332,3,53.009931
-4.654964,5,53.252407
-1.813152,18,53.878117
-4.878735,5,54.099702
-4.725965,3,54.260536
-5.893249,5,54.527415
-4.731661,3,54.646726
-4.352091,4,54.83053
-5.692195,3,54.977677
-4.877583,4,55.130383
