time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss
200,1,12.14,10,2048,11.14,,,,,,,,,,,
197,2,12.19,20,4096,11.19,0.005306579,-0.004186153411865234,0.9973404407501221,4,-4.251782134175301,0.0242919921875,72.14238560199738,0.2,0.0003,-0.00906371643213788,37.35210418701172
212,3,14.79,28,6144,13.79,0.010206494,0.07531273365020752,0.9990806579589844,8,-4.250371433794498,0.060791015625,56.238757729530334,0.2,0.0003,-0.014111720578512177,30.63051986694336
226,4,18.56,36,8192,17.56,0.0124150235,0.06747400760650635,0.998717188835144,12,-4.253431722521782,0.083740234375,75.6390231847763,0.2,0.0003,-0.015668604464735836,38.833335876464844
232,5,21.12,43,10240,20.12,0.00975137,0.0891726016998291,0.9973278045654297,16,-4.25068011879921,0.059326171875,93.66347742080688,0.2,0.0003,-0.011737095963326283,52.145809173583984
245,6,27.32,50,12288,26.32,0.005171016,0.05026203393936157,0.9965970516204834,20,-4.24759229272604,0.0286865234375,97.04364836215973,0.2,0.0003,-0.005582363068242557,44.53634262084961
257,7,33.71,55,14336,32.71,0.006743007,0.014878153800964355,0.9948858022689819,24,-4.243777692317963,0.0308837890625,150.78379130363464,0.2,0.0003,-0.006742723147908691,62.75757598876953
268,8,40.49,61,16384,39.49,0.004717662,0.024108588695526123,0.9940087795257568,28,-4.239787168800831,0.0198974609375,174.992431640625,0.2,0.0003,-0.005034395348047838,83.55174255371094
277,9,46.1,66,18432,45.1,0.006801664,-0.009859204292297363,0.9936470985412598,32,-4.237413674592972,0.0430908203125,186.65715217590332,0.2,0.0003,-0.007486478571081534,80.36022186279297
288,10,56.51,71,20480,55.51,0.003397818,-0.019605517387390137,0.9932951927185059,36,-4.236789368093014,0.010498046875,277.4155011177063,0.2,0.0003,-0.002663205290446058,120.20089721679688
297,11,65.33,75,22528,64.33,0.0037437538,-0.00224912166595459,0.9931747317314148,40,-4.2360227927565575,0.014892578125,334.25739192962646,0.2,0.0003,-0.0038480872826767154,158.89833068847656
306,12,76.95,80,24576,75.95,0.0051389155,0.009894907474517822,0.9924942851066589,44,-4.2346392422914505,0.03125,295.00859093666077,0.2,0.0003,-0.005108505065436475,149.61962890625
313,13,83.83,84,26624,82.83,0.0030911444,0.0026563405990600586,0.9901217818260193,48,-4.230787895619869,0.0086669921875,332.639377117157,0.2,0.0003,-0.003084864205447957,149.74378967285156
